conversation_id,text,person_id,time
FirstGame_Pneumatic_4,What do you want to hear?,robert z,9/24/13 10:03
FirstGame_Electric_5,OK. What are we discussing?,brandon l,9/24/13 10:04
FirstGame_Electric_5,OK. What are we discussing?,brandon l,9/24/13 10:04
FirstGame_Pneumatic_5,"Before we address this, where is everyone at in their research?",carl b,9/24/13 10:04
FirstGame_Pneumatic_5,I was just about to do the graphs.,mitchell h,9/24/13 10:04
FirstGame_Electric_5,Are we supposed to graph cost per sensor vs RPN?,akash v,9/24/13 10:05
FirstGame_Pneumatic_5,I was about to start the graphs.,robert z,9/24/13 10:05
FirstGame_Electric_5,For both the sensor and the Battery?,akash v,9/24/13 10:06
FirstGame_Electric_5,"Usually, a lower RPN has a higher cost.",brandon l,9/24/13 10:06
FirstGame_Electric_5,"Usually, a lower RPN has a higher cost.",brandon l,9/24/13 10:06
FirstGame_PAM_5,Im almost on the graphing.,amalia x,9/24/13 10:06
FirstGame_PAM_5,"hey team, so what I'm gathering is that we are being encouraged to talk about the graphs",amelia n,9/24/13 10:06
FirstGame_Pneumatic_5,"Alright, I'll take that as a no.  Nassim, where do you want us in our research before this meeting continues?",carl b,9/24/13 10:06
FirstGame_Pneumatic_5,I'm at that same point Peter.,mitchell h,9/24/13 10:06
FirstGame_Series Elastic_5,The graphs will indicate which power source and control sensor to use.  I am actually working on the graph right now so I dont know which is best yet,joseph h,9/24/13 10:06
FirstGame_Electric_5,I feel the Cadmium Battery was the best choice because it is inexpensive and is relatively reliable.,akash v,9/24/13 10:07
FirstGame_Electric_5,The only thing is I think that this one was heavier than the other ones,akash v,9/24/13 10:07
FirstGame_Electric_5,I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.,brandon l,9/24/13 10:07
FirstGame_Electric_5,I did not put the numbers into the graph yet. I was just finishing with reading the articles. It does not seem like there are any superior options right now.,brandon l,9/24/13 10:07
FirstGame_Series Elastic_5,"I haven't made it to the graphing portion yet, I just received that email now",cameron k,9/24/13 10:07
FirstGame_Series Elastic_5,"I haven't made it to the graphing portion yet, I just received that email now",cameron k,9/24/13 10:07
FirstGame_Series Elastic_5,I've only finished the power source graph but my graph shows that NiCd batteries have a good balance of all five qualities.,kevin g,9/24/13 10:07
FirstGame_PAM_5,would it be the Nickel Cadmium Battery?,amelia n,9/24/13 10:08
FirstGame_Pneumatic_5,Can't we just do the graphs real quick right now?,mitchell h,9/24/13 10:08
FirstGame_Electric_5,"The LiPo battery seems to have many advantages, including its durability, weight, and energy.",brandon l,9/24/13 10:09
FirstGame_Electric_5,"The LiPo battery seems to have many advantages, including its durability, weight, and energy.",brandon l,9/24/13 10:09
FirstGame_PAM_5,based on the Cost per battery/risk priority?,amelia n,9/24/13 10:09
FirstGame_Pneumatic_5,Does anyone know how long they take?,carl b,9/24/13 10:09
FirstGame_Pneumatic_5,"Some people are really behind, but I think 10pm is a fair time for everyone to get caught up.",carl b,9/24/13 10:09
FirstGame_Pneumatic_5,Why don't we all do our graphs and submit a summary and explanation of them to this chat by 10PM?,robert z,9/24/13 10:09
FirstGame_Electric_5,Ya I haven't made graphs yet either but it sounded like LiPO had many advantages and I was surprised its RPN was higher than Cadmiums,akash v,9/24/13 10:10
FirstGame_Electric_5,"It isn't the most expensive or the most risky either, but those two factors are traded off with all the batteries.",brandon l,9/24/13 10:10
FirstGame_Electric_5,"It isn't the most expensive or the most risky either, but those two factors are traded off with all the batteries.",brandon l,9/24/13 10:10
FirstGame_PAM_5,"If it's cost per battery/risk, then the Nickel would be the best choice",amalia x,9/24/13 10:10
FirstGame_Pneumatic_5,Alright.,mitchell h,9/24/13 10:10
FirstGame_Electric_5,Its more risky because it had the highest RPN,akash v,9/24/13 10:11
FirstGame_PAM_5,"But, seeing as it should be safety as the main priority, I think the Hydrogen would be the best. It creates less harm to the environment as well. The only drawback would be the price but I personally would choose safety and effectiveness over cost.",amalia x,9/24/13 10:11
FirstGame_Pneumatic_5,@Nassim Tehrani: Will that work out if we do our graphs by 10pm?,robert z,9/24/13 10:11
FirstGame_Electric_5,"As far as risk and cost, the NiCd seems to be the best. It has medium risk and a low cost. However, its other traits did not impress me.",brandon l,9/24/13 10:12
FirstGame_Electric_5,"As far as risk and cost, the NiCd seems to be the best. It has medium risk and a low cost. However, its other traits did not impress me.",brandon l,9/24/13 10:12
FirstGame_Series Elastic_5,I agree the NiCd battery has the best average of the five qualities,joseph h,9/24/13 10:12
FirstGame_Electric_5,@Brandon: Ya I agree with that.,akash v,9/24/13 10:13
FirstGame_Pneumatic_5,So as of know we are inputing our graph reflections as we finish by 10pm.  Any objections?,carl b,9/24/13 10:13
FirstGame_Pneumatic_5,*now,carl b,9/24/13 10:13
FirstGame_PAM_5,The lithium polymer battery can be compared to the nickel cadmium battery but at the same time it is more safe at reasonable cost.,tiffany x,9/24/13 10:14
FirstGame_Electric_5,I would choose based on lower cost and more reliable and also something that would be convenient for the operator.,akash v,9/24/13 10:16
FirstGame_Pneumatic_5,So to clarify we are to have our graphs completed by 10pm but our reflections are postponed?,carl b,9/24/13 10:16
FirstGame_Electric_5,"I would assess the five attributes of the RescuShell. Safety, cost, and recharge interval are affected by the battery. It also adds to the payload, so a heavier battery is less desirable. The recharge interval is mainly associated with the battery, though, so this should be most important.",brandon l,9/24/13 10:17
FirstGame_Electric_5,"I would assess the five attributes of the RescuShell. Safety, cost, and recharge interval are affected by the battery. It also adds to the payload, so a heavier battery is less desirable. The recharge interval is mainly associated with the battery, though, so this should be most important.",brandon l,9/24/13 10:17
FirstGame_Series Elastic_5,For power sources the NiCd was obviously the best but the control sensors all even out in the end and just depend on what is the goal of the exoskeleton they are used for,joseph h,9/24/13 10:17
FirstGame_Electric_5,I decided how long the battery can last while maintaining voltage and the cost of the battery as most important,akash v,9/24/13 10:19
FirstGame_Pneumatic_5,How can I make my chat window smaller? I need to use both windows if I'm going to complete my graphs.,robert z,9/24/13 10:19
FirstGame_Series Elastic_5,I am still constructing the graph. Will give opinion when I am done with it.,amirah u,9/24/13 10:20
FirstGame_Electric_5,The paper said it NiPd was more inefficient but I think according to the graphs in the testing report. It looks that NiPd lasted longer than LiPO,akash v,9/24/13 10:22
FirstGame_Pneumatic_4,"For the power source I found the best one would be NiCd. And I found the best one to be either the Piezoelectric or the Strain-Gauge. Both of these are based on the being the most ""even"" graphs.",mitchell h,9/24/13 11:02
FirstGame_Pneumatic_4,I agree with Mitchell with the power source.  NiCd offers the best all around support of the three options.  I decided in my opinion that Piezoelectric was the best sensor.  It offers decent middle ground agility and recharge interval but has the benefits of the highest safety rating.  I think this would be worth the higher cost.,robert z,9/24/13 12:33
FirstGame_Pneumatic_4,"I would also agree that the NiCd battery should be used. It has the highest payload and agility ratings, plus the safety is still acceptable.  And it's significantly cheaper than the alternatives while the Penzioelectric  control sensor isn't much more than the strain gauge while making up for any safety deficiency.",carl b,9/24/13 20:34
FirstGame_Pneumatic_4,I have submitted two notebooks and received emails explaining that they were not what they had wanted and they were very unclear as to how to make it better,joseph k,10/1/13 9:34
FirstGame_Pneumatic_4,they mentioned that they wanted the tables to be accurate with their past research so I added the tables that we used to base our graphs yet received a second email explaining that it was still not sufficient,joseph k,10/1/13 9:35
FirstGame_Pneumatic_4,I could not figure out how to do that.  I made them in the REDD program but found no way to put them into notebooks so in the notebook I mentioned that I had made them and to see REDD modules,joseph k,10/1/13 9:37
FirstGame_Pneumatic_4,@Joseph K: At the top of your notebook page when you are working on it there is a paperclip you can click on which will allow you to attach things such as your graphs.  Its right next to the submit button.  You can also go to your graphing tool and there ,robert z,10/1/13 9:41
FirstGame_Pneumatic_4,thanks,joseph k,10/1/13 9:42
FirstGame_Electric_5,"Okay, is there anyway to enlarge the chat?",steven z,10/1/13 9:44
FirstGame_Pneumatic_4,Are the team meetings conducted in the chat or as a group in class?,peter h,10/1/13 9:44
FirstGame_Pneumatic_4,"Ok, so what is the subject of the meeting?",carl b,10/1/13 9:45
FirstGame_Series Elastic_5,Which one should be the ideal choice,joseph h,10/1/13 9:45
FirstGame_Electric_5,Thanks,steven z,10/1/13 9:46
FirstGame_Pneumatic_4,I found most of you saying that the NiCd battery was the best choice,joseph k,10/1/13 9:46
FirstGame_Pneumatic_4,but I thought that the PFC despite being more expensive would work better for our situation,joseph k,10/1/13 9:46
FirstGame_Pneumatic_5,I thought the NiCd battery was the best and the Piezoelectric sensor.,mitchell h,10/1/13 9:46
FirstGame_Pneumatic_5,I found the NiCd batteries seemed to be the best choice because they offer good all-around support in the desired fields,robert z,10/1/13 9:46
FirstGame_Series Elastic_5,They showed us which sensors/batteries excel in specific areas of interest,cameron k,10/1/13 9:46
